crm_record_id,sf_account_id,account_name,parent_account_name,state,region,segment,account_type,owner_rep,contact_name,contact_email,contact_role,contact_subject,contact_grade_band,opportunity_name,product_name,product_family,stage,close_date,contract_end_date,arr_usd,seats_purchased,quote_id,is_duplicate_candidate,source,true_golden_customer_id
CRM-10041,SF-A10041,Cedar Ridge ISD,Cedar Ridge ISD,NC,South,Large District,District,E. Carter,Kevin Anderson,kevina@cedar_ridgeschools.org,Curriculum Director,Literacy,K,Cedar Ridge ISD - StudySync,StudySync,Core ELA,Negotiation,2025-06-14,2027-02-01,117929,800,Q-8655,N,Salesforce,GC0006
CRM-10042,SF-A10042,Cedar Ridge ISD - Supplemental,,NC,South,Large District,District,E. Carter,Tanisha Davis,tanishad@cedar_ridgeschools.org,Teacher,ELA,2,Cedar Ridge ISD - Supplemental - Imagine Math,Imagine Math,Supplemental Math,Closed Won,2025-01-05,2027-06-05,37988,500,Q-6939,N,Salesforce,GC0006
CRM-10043,SF-A10043,Springfield School District - Supplemental,Springfield School District,TX,South,Charter Network,Regional Service Center,A. Rivera,Laura Garcia,,Curriculum Director,Science,,Springfield School District - Supplemental - Twig Science,Twig Science,Science,Closed Lost,2025-10-17,2027-08-25,38114,1500,Q-5453,N,Salesforce,GC0007
CRM-10044,SF-A10044,Springfield Indep. SD,Springfield Schools,TX,South,Charter Network,Regional Service Center,A. Rivera,Emily Brown,emilyb@springfieldschools.org,Math Coordinator,,,Springfield Indep. SD - Imagine Language & Literacy,Imagine Language & Literacy,Supplemental Literacy,Closed Lost,2024-06-06,2026-06-25,181231,5000,Q-7765,N,Salesforce,GC0007
CRM-10045,SF-A10045,Springfield School District,Springfield School District,TX,South,Charter Network,Regional Service Center,A. Rivera,Monique Johnson,mjohnson@springfieldschools.org,Curriculum Director,General,,Springfield School District - Imagine Math,Imagine Math,Supplemental Math,Closed Won,2024-06-10,2027-03-27,88933,1500,Q-9969,Y,Salesforce,GC0007
CRM-10046,SF-A10046,Springfield School District - Supplemental,Springfield School District,TX,South,Charter Network,Regional Service Center,C. Thomas,Renee Garcia,rgarcia@springfieldschools.org,Literacy Specialist,ELA,,Springfield School District - Supplemental - Courseware,Courseware,Core Courseware,Closed Won,2025-05-25,2027-06-12,89171,800,Q-5737,N,Salesforce,GC0007
CRM-10047,SF-A10047,Springfield Public Schools,Springfield School District,TX,South,Charter Network,Regional Service Center,A. Rivera,Priya Davis,,Curriculum Director,Science,,Springfield Public Schools - Twig Science,Twig Science,Science,Closed Lost,2024-07-18,2027-01-07,120728,300,Q-8689,N,Salesforce,GC0007
CRM-10048,SF-A10048,Lakeview School District,Lakeview School District,PA,Northeast,Mid Market,District,B. Shah,Sarah Patel,sarahp@lakeviewschools.org,District Admin,Literacy,,Lakeview School District - StudySync,StudySync,Core ELA,Negotiation,2025-09-23,2026-11-03,121511,3000,Q-9360,N,Salesforce,GC0008
CRM-10049,SF-A10049,Lakeview School District - Supplemental,Lakeview School District,PA,Northeast,Mid-Market District,District,C. Thomas,T. Smith,tsmith@lakeviewschools.org,Literacy Specialist,STEM,,Lakeview School District - Supplemental - Courseware,Courseware,Core Courseware,Negotiation,2024-06-23,2027-06-21,181153,12000,Q-6210,N,Salesforce,GC0008
CRM-10050,SF-A10050,Lakeview School District,,PA,Northeast,Mid-Market District,District,C. Thomas,Sanjay Patel,sanjayp@lakeviewschools.org,,Literacy,10,Lakeview School District - ILL,ILL,Supplemental Literacy,Negotiation,2024-11-17,2026-06-27,89734,800,Q-7165,N,Salesforce,GC0008
CRM-10051,SF-A10051,Lakeview Independent School District,Lakeview Independent School District,PA,Northeast,Mid-Market District,District,C. Thomas,Carlos Miller,carlosm@lakeviewschools.org,Teacher,STEM,6,Lakeview Independent School District - Imagine Language & Literacy,Imagine Language & Literacy,Supplemental Literacy,Closed Won,2024-10-24,2026-02-13,57294,800,Q-7100,N,Salesforce,GC0008
CRM-10052,SF-A10052,Lakeview Independent School District,Lakeview Schools,PA,Northeast,Mid-Market District,District Office,C. Thomas,Eric Martin,eric.martin@lakeviewschools.org,Math Coordinator,General,K,Lakeview Independent School District - Twig Science,Twig Science,Science,Closed Won,2025-02-20,2027-10-31,88822,5000,Q-7353,N,Salesforce,GC0008
CRM-10053,SF-A10053,Lakeview School District,Lakeview School District,PA,northeast,Mid-Market District,District,C. Thomas,Sanjay Wilson,sanjayw@lakeviewschools.org,Curriculum Director,,,Lakeview School District - Twig Science,Twig Science,Science,Proposal,2024-10-18,2027-04-11,179901,3000,Q-6099,N,Salesforce,GC0008
CRM-10054,SF-A10054,Lakeview School District - Supplemental,Lakeview School District - Supplemental,PA,NORTHEAST,Mid-Market District,District,C. Thomas,David Patel,davidp@lakeviewschools.org,Literacy Specialist,,,Lakeview School District - Supplemental - Course Ware,Course Ware,Core Courseware,Closed Won,2025-05-03,2026-11-28,36111,800,Q-8659,N,Salesforce,GC0008
CRM-10055,SF-A10055,Northfield School District,,AZ,West,Mid-Market District,District,C. Thomas,Carlos Anderson,carlos.anderson@northfieldschools.org,Curriculum Director,,2,Northfield School District - Imagine Learning PD,Imagine Learning PD,Professional Learning,Negotiation,2025-09-12,2027-01-18,89998,1500,Q-6789,N,Salesforce,GC0009
CRM-10056,SF-A10056,Northfield School District,Northfield School District,AZ,west,Mid-Market District,District,C. Thomas,Praveen Jackson,praveen.jackson@northfieldschools.org,Math Coordinator,Math,7,Northfield School District - Twig Science,Twig Science,Science,Negotiation,2024-05-15,2027-06-10,88484,3000,,N,Salesforce,GC0009
CRM-10057,SF-A10057,Northfield School District,Northfield School District,,West,Mid-Market District,District,C. Thomas,Renee Martin,renee.martin@northfieldschools.org,Literacy Specialist,General,,Northfield School District - Imagine Math,Imagine Math,Supplemental Math,Negotiation,2025-04-04,2027-01-22,82314,5000,Q-9417,Y,Salesforce,GC0009
CRM-10058,SF-A10058,Northfield School District,Northfield School District,AZ,West,Mid-Market District,District,C. Thomas,Lisa Taylor,lisa.taylor@northfieldschools.org,,Literacy,11,Northfield School District - Twig,Twig,Science,Closed Won,2025-11-07,2027-03-06,116256,500,Q-5826,N,Salesforce,GC0009
CRM-10059,SF-A10059,Northfield School District,Northfield Schools,AZ,West,Large,District,C. Thomas,Priya Lee,priyal@northfieldschools.org,Math Coordinator,Literacy,2,Northfield School District - StudySync,StudySync,Core ELA,Closed Lost,2024-08-14,2027-02-28,60508,300,Q-9846,N,Salesforce,GC0009
CRM-10060,SF-A10060,Northfield Public Schools,,AZ,West,Mid-Market District,District,C. Thomas,Eric White,ewhite@northfieldschools.org,Instructional Coach,,7,Northfield Public Schools - Imagine Math,Imagine Math,Supplemental Math,Closed Lost,2025-02-26,2027-03-03,124683,500,Q-7088,N,Salesforce,GC0009
CRM-10061,SF-A10061,Northfield Public Schools,Northfield Schools,AZ,West,Mid-Market District,School,C. Thomas,Kevin Johnson,kjohnson@northfieldschools.org,Teacher,Literacy,1,Northfield Public Schools - Twig Science,Twig Science,Science,Negotiation,2024-09-05,2027-09-11,174350,1500,Q-9522,N,Salesforce,GC0009
CRM-10062,SF-A10062,Westbrook Public Schools,,CO,West,Charter Network,District,C. Thomas,Eric Anderson,eanderson@westbrookschools.org,District Admin,,4,Westbrook Public Schools - Courseware,Courseware,Core Courseware,Closed Lost,2025-08-16,2027-03-04,58497,500,Q-8111,N,Salesforce,GC0010
CRM-10063,SF-A10063,Westbrook Public Schools,,CO,West,Charter Network,District,C. Thomas,Eric Thomas,erict@westbrookschools.org,Instructional Coach,STEM,K,Westbrook Public Schools - Courseware,Courseware,Core Courseware,Closed Won,2025-11-15,2026-02-19,246104,1500,Q-6895,Y,Salesforce,GC0010
CRM-10064,SF-A10064,Westbrook ISD,,,West,Charter Network,District Office,C. Thomas,David Jackson,david.jackson@westbrookschools.org,Math Coordinator,,1,Westbrook ISD - Course Ware,Course Ware,Core Courseware,Closed Won,2024-07-15,2027-09-27,120135,12000,Q-8251,Y,Salesforce,GC0010
CRM-10065,SF-A10065,Westbrook Public Schools,Westbrook ISD,CO,West,Charter Network,School,C. Thomas,S. Wilson,sanjayw@westbrookschools.org,District Admin,Math,,Westbrook Public Schools - Imagine Learning PD,Imagine Learning PD,Professional Learning,Closed Lost,2025-05-01,2026-10-05,22218,5000,Q-9448,N,Salesforce,GC0010
CRM-10066,SF-A10066,Westbrook ISD,,CO,West,Charter Network,District,C. Thomas,Alicia Smith,alicias@westbrookschools.org,Literacy Specialist,General,8,Westbrook ISD - Imagine Language & Literacy,Imagine Language & Literacy,Supplemental Literacy,Proposal,2024-02-24,2026-04-11,84803,12000,,N,Salesforce,GC0010
CRM-10067,SF-A10067,Westbrook Public Schools,,CO,West,Charter Network,District,C. Thomas,Alicia Smith,alicia.smith@westbrookschools.org,Curriculum Director,,,Westbrook Public Schools - Imagine Learning PD,Imagine Learning PD,Professional Learning,Closed Won,2025-02-02,2026-11-21,57745,300,,N,Salesforce,GC0010
CRM-10068,SF-A10068,Westbrook ISD - Supplemental,,CO,West,Charter Network,District,C. Thomas,M. Garcia,mgarcia@westbrookschools.org,Math Coordinator,Literacy,2,Westbrook ISD - Supplemental - ImagineMath,ImagineMath,Supplemental Math,Closed Won,2024-05-22,2026-10-03,60397,1500,Q-6369,N,Salesforce,GC0010
CRM-10069,SF-A10069,Easton Public Schools,,CA,West,Large,District,F. Lewis,John Anderson,janderson@eastonschools.org,Principal,General,,Easton Public Schools - Courseware,Courseware,Core Courseware,Closed Lost,2024-07-24,2027-05-06,58910,1500,Q-7387,N,Salesforce,GC0011
CRM-10070,SF-A10070,Easton School District,,CA,West,state/regional,Charter Network,F. Lewis,Alicia Taylor,ataylor@eastonschools.org,Instructional Coach,ELA,1,Easton School District - Courseware,Courseware,Core Courseware,Negotiation,2025-11-20,2027-05-27,46376,800,Q-6262,N,Salesforce,GC0011
CRM-10071,SF-A10071,Easton ISD,,CA,West,State/Regional,Charter Network,F. Lewis,Laura White,,Instructional Coach,,,Easton ISD - Twig Science,Twig Science,Science,Negotiation,2024-12-05,2027-03-17,21172,300,Q-9183,N,Salesforce,GC0011
CRM-10072,SF-A10072,Easton Indep. SD,Easton Schools,CA,West,State/Regional,Charter Network,F. Lewis,Laura Anderson,landerson@eastonschools.org,Instructional Coach,ELA,7,Easton Indep. SD - StudySync,StudySync,Core ELA,Negotiation,2024-11-22,2026-03-10,56732,12000,Q-5185,N,Salesforce,GC0011
CRM-10073,SF-A10073,Easton ISD,,CA,West,Mid Market,Charter Network,F. Lewis,Priya Brown,pbrown@eastonschools.org,,,12,Easton ISD - Science Suite,Science Suite,Science,Closed Won,2025-08-14,2026-04-15,254796,500,Q-6614,N,Salesforce,GC0011
CRM-10074,SF-A10074,Easton Public Schools,,CA,West,State/Regional,Charter Network,F. Lewis,Praveen Thomas,pthomas@eastonschools.org,,Literacy,,Easton Public Schools - Twig Science,Twig Science,Science,Closed Won,2025-01-17,2026-05-25,122364,1500,Q-9708,N,Salesforce,GC0011
CRM-10075,SF-A10075,Easton Public Schools,Easton Schools,CA,West,State/Regional,Charter Network,F. Lewis,Eric Brown,eric.brown@eastonschools.org,District Admin,Science,7,Easton Public Schools - Twig Education,Twig Education,Science,Negotiation,2025-05-15,2026-06-21,30263,300,Q-6806,N,Salesforce,GC0011
CRM-10076,SF-A10076,Easton Public Schools,,CA,West,State/Regional,Charter Network,F. Lewis,Eric Miller,eric.miller@eastonschools.org,Principal,,10,Easton Public Schools - Imagine Language & Literacy,Imagine Language & Literacy,Supplemental Literacy,Proposal,2024-02-03,2027-04-06,61711,12000,Q-8596,N,Salesforce,GC0011
CRM-10077,SF-A10077,Fairview Independent School District,,CO,west,Large District,District,C. Thomas,Sanjay Anderson,sanjaya@fairviewschools.org,Curriculum Director,,4,Fairview Independent School District - Imagine Learning PD,Imagine Learning PD,Professional Learning,Closed Lost,2025-11-26,2026-04-08,42743,300,Q-6039,N,Salesforce,GC0012
CRM-10078,SF-A10078,Fairview Independent School District,,CO,West,Large District,District,C. Thomas,Sarah Thomas,sarah.thomas@fairviewschools.org,Math Coordinator,ELA,,Fairview Independent School District - Imagine Language & Literacy,Imagine Language & Literacy,Supplemental Literacy,Closed Won,2024-04-05,2027-04-15,176869,12000,,N,Salesforce,GC0012
CRM-10079,SF-A10079,Fairview Public Schools,Fairview Public Schools,CO,West,Large District,District,C. Thomas,David White,,Math Coordinator,,2,Fairview Public Schools - Courseware,Courseware,Core Courseware,Closed Won,2025-03-14,2026-07-27,173161,5000,Q-7244,Y,Salesforce,GC0012
CRM-10080,SF-A10080,Fairview ISD - Supplemental,Fairview Schools,CO,West,Large District,District,C. Thomas,John Anderson,john.anderson@fairviewschools.org,,Literacy,,Fairview ISD - Supplemental - Imagine Learning PD,Imagine Learning PD,Professional Learning,Proposal,2024-05-03,2027-03-09,173165,1500,,N,Salesforce,GC0012
CRM-10081,SF-A10081,Fairview ISD,Fairview Schools,CO,West,Large District,District,C. Thomas,Alicia Anderson,,Principal,Science,1,Fairview ISD - Edgenuity Courseware,Edgenuity Courseware,Core Courseware,Closed Won,2024-05-06,2027-08-27,177291,800,Q-7576,N,Salesforce,GC0012
CRM-10082,SF-A10082,Brookside ISD,Brookside Schools,AZ,West,Large District,Regional Service Center,B. Shah,Priya Miller,priya.miller@brooksideschools.org,,Math,,Brookside ISD - PL,PL,Professional Learning,Closed Lost,2025-03-06,2027-01-10,118830,12000,Q-5597,Y,Salesforce,GC0013
CRM-10083,SF-A10083,Brookside ISD,,AZ,West,Large District,Regional Service Center,A. Rivera,Carlos A. Davis,carlosd@brooksideschools.org,,Math,3,Brookside ISD - Imagine Math,Imagine Math,Supplemental Math,Closed Won,2025-07-03,2026-12-01,90608,5000,Q-5541,N,Salesforce,GC0013
CRM-10084,SF-A10084,Brookside School District,Brookside ISD,AZ,West,Large District,Regional Service Center,A. Rivera,Jane A. Wilson,jane.wilson@brooksideschools.org,Instructional Coach,ELA,12,Brookside School District - Imagine Math,Imagine Math,Supplemental Math,Proposal,2024-06-19,2027-01-16,40403,5000,Q-5240,N,Salesforce,GC0013
CRM-10085,SF-A10085,Brookside ISD - Supplemental,Brookside ISD,AZ,West,large district,Regional Service Center,A. Rivera,Praveen A. Johnson,praveenj@brooksideschools.org,Instructional Coach,,,Brookside ISD - Supplemental - Courseware,Courseware,Core Courseware,Negotiation,2025-01-07,2027-01-28,38932,12000,,N,Salesforce,GC0013
CRM-10086,SF-A10086,Brookside School District,Brookside School District,AZ,WEST,Large District,Regional Service Center,A. Rivera,Alicia Wilson,,Principal,ELA,8,Brookside School District - StudySync,StudySync,Core ELA,Proposal,2024-07-24,2026-10-26,120979,5000,Q-8800,N,Salesforce,GC0013
